date_str,start_time,end_time,start_after_open,end_after_open,duration_hours,total_analyses,avg_score,max_score,min_score,highlights,big_highlights,max_viewers,avg_viewers,highlight_rate,big_highlight_rate
2025-09-05,2025-09-05T20:23:39.526843,2025-09-06T03:46:19.131305,0:58:59,8:21:39,7.377777777777778,5091,10.772743207202062,84.84992912070999,2.3927510837197836,87,40,965,825.8958947161658,1.7088980553918678,0.7857002553525829
2025-09-06,2025-09-06T15:35:48.624077,2025-09-06T19:05:35.326097,0:00:24,3:30:11,3.4963888888888888,2298,13.16014012666665,84.47672521011933,3.8468433429320728,48,29,878,710.2232375979112,2.088772845953003,1.2619669277632724
